source_id,source_oficio_key,relacao,target_oficio_key,target_oficio,target_item,target_perguntas,target_no_base,raw
cvm175-seq-0002,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,11,True,Item 1.5 > Pergunta 11 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0003,OC-1-2023-SIN-SSE,referencia,OCC-2-2024-SIN-SSE,Ofício-Circular Conjunto nº 2/2024/SIN/SSE,,,True,Item 2 Ofício-Circular Conjunto nº 2/2024/SIN/SSE
cvm175-seq-0004,OC-1-2023-SIN-SSE,referencia,OC-2-2024-SIN,Ofício-Circular nº 2/2024/SIN,,,True,Item 8 Ofício-Circular nº 2/2024/SIN
cvm175-seq-0004,OC-1-2023-SIN-SSE,referencia,OCC-2-2023-CVM-SIN-SSE,Ofício-Circular-Conjunto nº 2/2023/CVM/SIN/SSE,,,False,Ofício-Circular-Conjunto nº 2/2023/CVM/SIN/SSE
cvm175-seq-0011,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,2,True,Item 1.1 > Pergunta 2 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0017,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,,True,Item 1.22 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0024,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,29 e 30,True,Item 1.8. > Perguntas 29 e 30 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0024,OC-1-2023-SIN-SSE,referencia,OC-7-2024-SIN,Ofício-Circular nº 7/2024/SIN,,,True,Item 1 Ofício-Circular nº 7/2024/SIN
cvm175-seq-0026,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,59,True,"Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0026,OC-1-2023-SIN-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0029,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,24 e 30,True,Item 1.8. > Perguntas 24 e 30 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0029,OC-1-2023-SIN-SSE,referencia,OC-7-2024-SIN,Ofício-Circular nº 7/2024/SIN,,,True,Item 1 Ofício-Circular nº 7/2024/SIN
cvm175-seq-0030,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,24 e 29,True,Item 1.8. > Perguntas 24 e 29 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0030,OC-1-2023-SIN-SSE,referencia,OC-7-2024-SIN,Ofício-Circular nº 7/2024/SIN,,,True,Item 1 Ofício-Circular nº 7/2024/SIN
cvm175-seq-0036,OC-1-2023-SIN-SSE,referencia,OC-3-2024-SIN,Ofício-Circular nº 3/2024/SIN,,1,True,Item 2 > Pergunta 1 Ofício-Circular nº 3/2024/SIN
cvm175-seq-0036,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,,True,Item 36 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0059,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,26 e,True,"Item 1.8, Pergunta 26 e Item 1.16, Pergunta 59 Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0059,OC-1-2023-SIN-SSE,referencia,OC-1-2025-SIN-SNC-SSE,Ofício-Circular nº 1/2025/SIN/SNC/SSE,"7 a 11, 16, 17, 20 a 22 e 27",,True,"Itens 7 a 11, 16, 17, 20 a 22 e 27 do Ofício-Circular nº 1/2025/SIN/SNC/SSE"
cvm175-seq-0061,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,75,True,Item 1.24 > Pergunta 75 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0071,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,17,True,"Item 1.6., Pergunta 17, Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0072,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,17,True,"Item 1.6., Pergunta 17, Ofício-Circular nº 1/2023/SIN/SSE"
cvm175-seq-0075,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,61,True,Item 1.16 > Pergunta 61 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0075,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,76,True,Item 1.24 > Pergunta 76 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0076,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,61,True,Item 1.16 > Pergunta 61 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0076,OC-1-2023-SIN-SSE,referencia,OC-1-2023-SIN-SSE,Ofício-Circular nº 1/2023/SIN/SSE,,75,True,Item 1.24 > Pergunta 75 Ofício-Circular nº 1/2023/SIN/SSE
cvm175-seq-0079,OC-1-2023-SIN-SSE,referencia,OCC-2-2023-SIN-SSE,Ofício-Circular Conjunto nº 02/2023/SIN/SSE,,,True,Item 1.4.a e b. Ofício-Circular Conjunto nº 02/2023/SIN/SSE
cvm175-seq-0083,OC-1-2023-SIN-SSE,referencia,OC-6-2024-SIN,Ofício-Circular nº 6/2024/SIN,,,True,Revogado pelo item 13 do Ofício-Circular nº 6/2024/SIN
cvm175-seq-0085,OC-2-2023-SIN,referencia,OC-6-2023-SIN,Ofício-Circular nº 6/2023/SIN,,,True,Item 1 Ofício-Circular nº 6/2023/SIN
